Statnett saksnr.,Tilko saksnr.,Stasjon for tilknytning i transmisjonsnettet,Områdeplan,Statnetts kunde,Sluttkunde,Næringstype,Dato - tilknyttet kapasitet,Kunde og tilknytningsansvarlig,Tilknyttet kapasitet totalt (MW),Tilknyttet kapasitet med ordinære vilkår (MW),Tilknyttet kapasitet med særlige vilkår (MW)
21/00079,,Flesaker TRA,Telemark og Vestfold,Glitre Nett AS,VEAS,Industri,2021-12-31,Heidi Hellesvik Ringstad,10,10,
21/00082,,Vang TRA,Innlandet,Elvia As,Green Mountain Innlandet AS,Datasenter,2024-12-12,Heidi Hellesvik Ringstad,110,40,70
21/00086,,Halden TRA,"Oslo, Akershus og Østfold",Elvia As,Nexans,Industri,2021-09-01,Karoline Josefine Gudbjerg,14,14,
21/00089,ELB26,Kirkenes TRA,Nord,Barents Nett As,Syd Varanger Drift,Industri,2025-11-13,Lars Erik Johansen,21,21,
21/00100,ELB1539,Samnanger TRA,Bergen og Haugalandet,Aker BP ASA,Aker BP,Petroleum,2026-04-16,Magnus Øverby Tennøe,50,14,36
21/00105,,Skillemoen TRA,Nord,Alut As,Alut As,Annet forbruk,2023-11-14,Lars Erik Johansen,7,7,
21/00109,,Kobbvatnet TRA,Helgeland og Salten,Kystnett As,,Transport,2023-10-31,Ingvild Grøtterud Birkeland,24,24,
21/00126,,Lødingen 66kV TRA,Nord,Noranett AS,Hålogaland Kraft Nett AS,Transport,2025-04-08,Lars Erik Johansen,10,10,
21/00160,,Røykås TRA,"Oslo, Akershus og Østfold",Elvia As,Basefarm,Datasenter,2021-10-01,Karoline Josefine Gudbjerg,12,12,
21/00161,,Follo TRA,"Oslo, Akershus og Østfold",Elvia As,Green Mountain,Datasenter,2022-09-30,Karoline Josefine Gudbjerg,13,13,
21/00165,,Grenland TRA,Telemark og Vestfold,Lede AS,Klingstone AS,Datasenter,2025-12-21,Geir Kåsa,15,15,
21/00170,,Kjelland TRA,Sør Rogaland og Agder,,Bane Nor Sf,Transport,2022-08-30,Arne Utne,22,22,
21/00172,ELB125,Tegneby TRA,"Oslo, Akershus og Østfold",Elvia As,SI OSL 04 AS,Datasenter,2024-12-01,Karoline Josefine Gudbjerg,7,7,
21/00176,,Kvinesdal TRA,Sør Rogaland og Agder,Glitre Nett AS,GE Healthcare,Industri,2022-06-29,Arne Utne,17,15,2
21/00179,,Svartisen KRA/TRA,Helgeland og Salten,Arva AS,Nscale,Datasenter,2022-06-26,Ingvild Grøtterud Birkeland,30,30,
21/00185,,Porsgrunn TRA,Telemark og Vestfold,Herøya Nett As,Yara,Industri,2022-12-31,Geir Kåsa,26,26,
21/00187,,Ulven TRA,"Oslo, Akershus og Østfold",Elvia As,Green Mountain AS,Datasenter,2025-11-19,Karoline Josefine Gudbjerg,15,15,
21/00194,,Ringerike TRA,Hallingdal og Ringerike,,Aquila,Datasenter,2021-06-30,Heidi Hellesvik Ringstad,6,6,
21/00203,,Adamselv KRA/TRA,Nord,Lega Nett AS,Laksefjord AS (Lerøy),Industri,2022-05-29,Lars Erik Johansen,6,6,
21/00207,ELB1541,Kollsnes KRA/TRA,Bergen og Haugalandet,Equinor Asa,Equinor Asa,Petroleum,2023-08-29,Magnus Øverby Tennøe,116,,116
