Statnett saksnr.,Tilko saksnr.,Stasjon for tilknytning i transmisjonsnettet,Områdeplan,Prisområde,Statnetts kunde,Sluttkunde,Næringstype,Dato - moden bestilling fra sluttkunde,Dato - Ønsket tilknytning,Kunde og tilknytningsansvarlig,Kapasitet i kø (MW)
23/01386,ELB144,Vang TRA,Innlandet,NO1,Elvia As,Hafslund Kraft AS,Vannkraft,2025-03-26,2028-04-01,Heidi Hellesvik Ringstad,5.1
23/01389,ELB194,Fåberg TRA,Innlandet,NO1,Elvia As,Pyur Energy AS,Solkraft,2024-03-31,2025-07-30,Heidi Hellesvik Ringstad,11.1
23/01403,ELB178,Minne TRA,Innlandet,NO1,Elvia As,Solgrid AS,Solkraft,2023-07-30,2030-12-30,Heidi Hellesvik Ringstad,13.78
23/01420,ELB174,Minne TRA,Innlandet,NO1,Elvia As,Pyur Energy AS,Solkraft,2023-06-20,2028-06-29,Heidi Hellesvik Ringstad,8
23/01437,ELB192,Minne TRA,Innlandet,NO1,Elvia As,Solgrid AS,Solkraft,2023-12-13,2027-06-29,Heidi Hellesvik Ringstad,34
24/01449,ELB186,Minne TRA,Innlandet,NO1,Elvia As,Geisli Energi AS,Solkraft,2023-12-19,2026-12-30,Heidi Hellesvik Ringstad,32
24/01450,ELB190,Vang TRA,Innlandet,NO1,Elvia As,Differ Energy AS,Solkraft,2024-03-17,2026-03-31,Heidi Hellesvik Ringstad,6
24/01452,ELB1060,Flesaker TRA,Telemark og Vestfold,NO1,Glitre Nett AS,Energeia Gunnhus AS,Solkraft,2024-09-29,2026-12-30,Heidi Hellesvik Ringstad,5
24/01467,ELB222,Vang TRA,Innlandet,NO1,Elvia As,Differ Energy AS,Solkraft,2024-10-06,2028-09-29,Heidi Hellesvik Ringstad,15
24/01531,ELB1926,Åfjord TRA,Midt,NO3,Tensio AS,Småkraft AS,Vannkraft,2024-11-15,,Christopher Aarnseth Ruud,5.8
24/01557,ELB509,Rendalen transformatorstasjon TRA,Innlandet,NO1,Elvia As,Småkraft AS,Vannkraft,2024-06-17,2027-12-30,Heidi Hellesvik Ringstad,5.6
24/01572,ELB1018,Vardal TRA,Innlandet,NO1,Elvia As,Zephyr AS,Vindkraft,2024-11-13,2032-12-30,Heidi Hellesvik Ringstad,295.2
24/01580,ELB195,Minne TRA,Innlandet,NO1,Elvia As,HAFSLUND MAGNORA SOL AS,Solkraft,2024-08-13,2026-06-29,Heidi Hellesvik Ringstad,30
24/01599,ELB182,Vang TRA,Innlandet,NO1,Elvia As,Innlandet Fornybar AS,Solkraft,2023-11-02,2029-09-29,Heidi Hellesvik Ringstad,40
24/01609,ELB219,Minne TRA,Innlandet,NO1,Elvia As,Pyur Energy AS,Solkraft,2025-03-02,2026-09-30,Heidi Hellesvik Ringstad,7.2
24/01673,ELB508,Rendalen transformatorstasjon TRA,Innlandet,NO1,Elvia As,NØK Forbybar AS,Solkraft,2024-06-02,2026-09-30,Heidi Hellesvik Ringstad,4
24/01677,ELB141,Minne TRA,Innlandet,NO1,Elvia As,Løvhaugsåa Kraftverk AS,Vannkraft,2024-10-24,2028-12-30,Heidi Hellesvik Ringstad,1.5
24/01702,ELB146,Vang TRA,Innlandet,NO1,Elvia As,Graupel Vind DA,Vindkraft,2024-07-04,2030-03-30,Heidi Hellesvik Ringstad,65
24/01705,ELB2917,Fortun KRA/TRA,Sogn og Sunnmøre,NO5,Linja AS,Hydro Energi AS,Vannkraft,2024-02-29,2029-06-28,Hans Olav Ween,8.7
24/01734,ELB228,Minne TRA,Innlandet,NO1,Elvia As,Pyur Energy AS,Solkraft,2024-12-04,2028-09-29,Heidi Hellesvik Ringstad,51
